lines		number	global
linespace	lsp	number	global
lisp		boolean	buffer
lispoptions	lop	string	buffer
lispwords	lw	string	global-buffer
list		boolean	window
listchars	lcs	string	global-window
loadplugins	lpl	boolean	global
luadll		string	global
macatsui		boolean	global
macligatures		boolean	global
macmeta		boolean	buffer
macthinstrokes		boolean	global
magic		boolean	global
makeef	mef	string	global
makeencoding	menc	string	global-buffer
makeprg	mp	string	global-buffer
matchpairs	mps	string	buffer
matchtime	mat	number	global
maxcombine	mco	number	global
maxfuncdepth	mfd	number	global
maxmapdepth	mmd	number	global
maxmem	mm	number	global
maxmempattern	mmp	number	global
maxmemtot	mmt	number	global
maxsearchcount	msc	number	global
menuitems	mis	number	global
messagesopt	mopt	string	global
mkspellmem	msm	string	global
modeline	ml	boolean	buffer
modelineexpr	mle	boolean	global
modelines	mls	number	global
modifiable	ma	boolean	buffer
modified	mod	boolean	buffer
more		boolean	global
mouse		string	global
mousefocus	mousef	boolean	global
mousehide	mh	boolean	global
mousemodel	mousem	string	global
mousemoveevent	mousemev	boolean	global
mouseshape	mouses	string	global
mousetime	mouset	number	global
mzquantum	mzq	number	global
mzschemedll		string	global
mzschemegcdll		string	global
nrformats	nf	string	buffer
number	nu	boolean	window
numberwidth	nuw	number	window
omnifunc	ofu	string	buffer
opendevice	odev	boolean	global
operatorfunc	opfunc	string	global
osctimeoutlen	ost	number	global
osfiletype	oft	string	buffer
paragraphs	para	string	global
paste		boolean	global
pastetoggle	pt	string	global
patchexpr	pex	string	global
patchmode	pm	string	global
path	pa	string	global-buffer
perldll		string	global
preserveindent	pi	boolean	buffer
previewheight	pvh	number	global
previewpopup	pvp	string	global
previewwindow	pvw	boolean	window
printdevice	pdev	string	global
printencoding	penc	string	global
printexpr	pexpr	string	global
printfont	pfn	string	global
printheader	pheader	string	global
printmbcharset	pmbcs	string	global
printmbfont	pmbfn	string	global
printoptions	popt	string	global
prompt		boolean	global
pumborder	pb	string	global
pumheight	ph	number	global
pummaxwidth	pmw	number	global
pumopt		string	global
pumwidth	pw	number	global
pythondll		string	global
pythonhome		string	global
pythonthreedll		string	global
pythonthreehome		string	global
pyxversion	pyx	number	global
quickfixtextfunc	qftf	string	global
quoteescape	qe	string	buffer
